Date,Open,High,Low,Close,Volume,Turnover
02-01-2012,4640.2,4645.95,4588.05,4636.75,108460668,35909600000
03-01-2012,4675.8,4773.1,4675.8,4765.3,146621115,50212900000
04-01-2012,4774.95,4782.85,4728.85,4749.65,165938849,56611600000
05-01-2012,4749,4779.8,4730.15,4749.95,177862936,58737900000
06-01-2012,4724.15,4794.9,4686.85,4754.1,176057282,52346900000
07-01-2012,4755.6,4759.4,4743.05,4746.9,18783880,4148800000
09-01-2012,4747.55,4758.7,4695.45,4742.8,147534537,45483000000
10-01-2012,4771.85,4855.9,4768.25,4849.55,201661174,62222700000
11-01-2012,4863.15,4877.2,4841.6,4860.95,209079758,63640000000
12-01-2012,4840.95,4869.2,4803.9,4831.25,183068697,72714400000
13-01-2012,4861.95,4898.85,4834.2,4866,230940604,71175000000
16-01-2012,4844,4880.8,4827.05,4873.9,160479891,52978900000
17-01-2012,4904.5,4975.55,4904,4967.3,223004183,71707200000
18-01-2012,4977.75,4980.65,4931.05,4955.8,211198796,74247900000
19-01-2012,4995,5023.8,4991.4,5018.4,203487608,66343300000
20-01-2012,5044.85,5064.15,5004.3,5048.6,221048007,81203500000
23-01-2012,5025.35,5059.55,5021.35,5046.25,158177571,59340400000
24-01-2012,5064.8,5141.05,5049.8,5127.35,202006565,81724300000
25-01-2012,5151.5,5174.15,5130.25,5158.3,219175709,81560400000
27-01-2012,5216.75,5217,5162.4,5204.7,215923377,78811500000
30-01-2012,5163.55,5166.15,5076.7,5087.3,181141437,61813200000
31-01-2012,5125.25,5215.4,5120.15,5199.25,215770719,80755400000
01-02-2012,5198.15,5244.6,5159,5235.7,234899358,80666800000
02-02-2012,5272.1,5289.95,5225.75,5269.9,337960651,1.11E+11
03-02-2012,5276.1,5334.85,5255.55,5325.85,217358188,75730200000
06-02-2012,5379.45,5390.05,5327.25,5361.65,215080487,77030600000
07-02-2012,5412.95,5413.35,5322.95,5335.15,181194561,67971400000
08-02-2012,5343.8,5396.9,5325.2,5368.15,236135416,93599800000
09-02-2012,5343.05,5423.4,5338.9,5412.35,255306965,81439600000
10-02-2012,5399.8,5427.75,5341.05,5381.6,225352093,73963400000
13-02-2012,5382.1,5421.05,5351.4,5390.2,181561910,67380000000
14-02-2012,5380.8,5428.05,5377.95,5416.05,201409996,66934300000
15-02-2012,5460.6,5542.1,5460.6,5531.95,314366096,99582800000
16-02-2012,5513.75,5531.4,5483.75,5521.95,270060477,90534500000
17-02-2012,5574.2,5606.7,5545.2,5564.3,329307516,1.15E+11
21-02-2012,5561.9,5621.5,5561.75,5607.15,231132126,81693800000
22-02-2012,5609.75,5629.95,5491.35,5505.35,263013427,96944400000
23-02-2012,5490.05,5537.4,5460.8,5483.3,307246519,99876500000
24-02-2012,5479.15,5521.4,5405.9,5429.3,364660634,1.74E+11
27-02-2012,5448.1,5449.8,5268.15,5281.2,235318961,77068100000
28-02-2012,5310.5,5391.1,5306.45,5375.5,208133889,78159000000
29-02-2012,5424.95,5458.8,5352.25,5385.2,226022232,84544100000
01-03-2012,5366,5372.45,5297.5,5339.75,196867905,68476300000
02-03-2012,5369.45,5392.55,5315.05,5359.35,185021526,67685200000
03-03-2012,5360.05,5369.6,5353.4,5359.4,16770991,4293500000
05-03-2012,5342.55,5344.5,5265.7,5280.35,196421155,60366300000
06-03-2012,5266,5382.05,5206.4,5222.4,290396014,93190100000
07-03-2012,5207.05,5243.85,5171.45,5220.45,230726017,71731400000
09-03-2012,5294.1,5342.3,5291.6,5333.55,203005845,70806600000
12-03-2012,5420.1,5421.9,5327.3,5359.55,176668237,64843800000
13-03-2012,5391.05,5438.65,5390.8,5429.5,179965296,59071400000
14-03-2012,5490.55,5499.4,5437.8,5463.9,181714070,73456700000
15-03-2012,5462.5,5462.5,5362.3,5380.5,160257651,59611500000
16-03-2012,5380.35,5445.65,5305,5317.9,267521147,94320700000
19-03-2012,5337.35,5340.7,5238.55,5257.05,179877454,62758900000
20-03-2012,5257.15,5297.35,5233.25,5274.85,181345285,61580000000
21-03-2012,5267.2,5372.35,5256,5364.95,199787985,68070200000
22-03-2012,5361.1,5385.95,5205.65,5228.45,205581062,73598900000
23-03-2012,5255.65,5312,5220,5278.2,172738574,63714600000
26-03-2012,5274.35,5274.95,5174.9,5184.25,169785835,55822800000
27-03-2012,5242.95,5277.95,5184.65,5243.15,208775421,74459200000
28-03-2012,5231.7,5236.55,5169.6,5194.75,145803597,54116300000
29-03-2012,5145.95,5194.3,5135.95,5178.85,242557889,86320500000
30-03-2012,5206.6,5307.1,5203.65,5295.55,164790056,60829300000
02-04-2012,5296.35,5331.55,5278.8,5317.9,134538287,45836800000
03-04-2012,5353.2,5378.75,5344.45,5358.5,152496489,52568600000
04-04-2012,5328.65,5338.4,5305.3,5322.9,122106162,40843700000
09-04-2012,5282.5,5287.9,5228,5234.4,111914936,36800400000
10-04-2012,5254.1,5255.8,5211.85,5243.6,156106794,48864800000
11-04-2012,5209.45,5263.65,5190.8,5226.85,167013527,55857000000
12-04-2012,5246.75,5290.6,5246.75,5276.85,152684788,54572900000
13-04-2012,5255.7,5306.75,5185.4,5207.45,164225858,79892700000
16-04-2012,5190.6,5233.5,5183.5,5226.2,119730347,51657000000
17-04-2012,5266.6,5298.2,5208.35,5289.7,178895417,74166600000
18-04-2012,5320.7,5342,5293.45,5300,152743439,56657700000
19-04-2012,5320.6,5342.45,5291.3,5332.4,133549895,53133300000
20-04-2012,5313.95,5336.15,5245.45,5290.85,135252751,50865400000
23-04-2012,5277.4,5310.55,5187.15,5200.6,138042341,50652700000
24-04-2012,5215.9,5232.35,5180.35,5222.65,155674654,73626600000
25-04-2012,5222.2,5236.1,5160.65,5202,142910739,59683400000
26-04-2012,5214.75,5215.6,5179.05,5189,185899437,64084900000
27-04-2012,5189,5223.05,5154.3,5190.6,128759445,57345900000
28-04-2012,5209.6,5216.4,5196.35,5209,6555703,2978900000
30-04-2012,5201.45,5262.15,5201.45,5248.15,108138550,46104000000
02-05-2012,5254.3,5279.6,5226.45,5239.15,119333288,48150800000
03-05-2012,5211.2,5217.3,5180.65,5188.4,118573998,54889000000
04-05-2012,5166.65,5177.2,5070.6,5086.85,153304687,65075000000
07-05-2012,5017.8,5124.75,4988,5114.15,168271798,67870800000
08-05-2012,5114.7,5119.95,4983.6,4999.95,164262546,62332600000
09-05-2012,4967.9,5016.25,4956.45,4974.8,180441209,65587800000
10-05-2012,4984.15,5039.3,4950.3,4965.7,141031231,54301400000
